"Net-wealth (median) by age, municipality groups and time"

" "," ","2014","2015","2016","2017","2018","2019","2020","2021","2022"
" ","Vejen",759549,819431,901029,961669,1009812,1089843,1175084,1267273,1253244
" ","Vejle",922248,1006567,1075153,1151205,1212676,1275027,1370083,1499460,1476111
" ","Aabenraa",722609,783757,802156,857993,893087,967956,1029348,1138232,1143593
" ","Favrskov",1128028,1196239,1310105,1380423,1404202,1535980,1576307,1770515,1711410
" ","Hedensted",948083,1016007,1085533,1153741,1198996,1256665,1302244,1444104,1426403
" ","Horsens",896786,964421,1049037,1110431,1184414,1231173,1279276,1427017,1405000
" ","Norddjurs",741640,799883,841400,890768,913822,999352,1071664,1203303,1187215
" ","Odder",1041293,1040319,1116323,1276768,1311820,1424433,1516172,1757839,1711078
" ","Randers",731010,767998,810466,883405,935108,1015623,1080799,1178568,1154475
" ","Samsø",869524,883245,943485,995011,1051040,1148319,1223239,1327676,1313917
" ","Silkeborg",1017445,1085719,1178730,1253724,1282129,1395972,1503626,1634287,1584006
" ","Skanderborg",1273957,1375872,1454671,1514106,1602074,1713066,1818504,2040529,1983215
" ","Syddjurs",1116296,1150876,1176216,1225513,1265220,1306274,1430069,1572070,1549248
" ","Aarhus",1231985,1333499,1449213,1559198,1647818,1777757,1912144,2120884,2086432
" ","Herning",997051,1054528,1099503,1179006,1209415,1316792,1372064,1483300,1458001
" ","Holstebro",905091,951862,1001646,1059165,1127003,1232466,1320305,1452419,1427020
" ","Ikast-Brande",885424,957496,1008474,1052768,1105154,1194154,1265912,1385582,1319035
" ","Lemvig",887455,977466,1001631,1008876,1042568,1146345,1232673,1371148,1328049
" ","Ringkøbing-Skjern",927134,1003542,1068117,1169862,1182047,1286738,1380081,1498854,1443501
" ","Skive",812076,825314,907545,952739,1001643,1065199,1160019,1253531,1236428
" ","Struer",800034,820185,872227,918395,947188,1049459,1108401,1166976,1166781
" ","Viborg",975831,1042008,1103046,1191827,1220403,1309470,1401998,1541432,1492214
" ","Brønderslev",851883,868569,937775,983298,1009954,1063058,1130981,1221968,1209280
" ","Frederikshavn",759754,795476,849131,913260,948470,993936,1054821,1169017,1161154
" ","Hjørring",828169,848425,924124,1019691,1058474,1132705,1169711,1303228,1298489
" ","Jammerbugt",862930,903513,940301,1049329,1055167,1131135,1196620,1279988,1248515
" ","Læsø",860987,849370,896769,1045199,1045594,1083891,1113810,1155907,1261718
" ","Mariagerfjord",836571,847374,902232,980165,993148,1085607,1171986,1261588,1261451
" ","Morsø",726227,800367,860868,941263,965292,1014502,1039730,1130221,1140245
" ","Rebild",982239,1050074,1158348,1205204,1359248,1421581,1441216,1566842,1489972
" ","Thisted",808669,850972,915549,971838,980123,1044399,1125947,1244622,1223738
" ","Vesthimmerlands",811328,819953,898754,952985,975772,1064428,1117219,1230293,1241721
" ","Aalborg",938837,1001081,1076393,1156675,1196388,1268714,1334180,1429188,1445063
"80 years and over"
" ","All Denmark",648413,672649,697826,736633,766356,808149,845385,920742,940050
" ","Capital municipalities",814068,863468,911708,971776,1013982,1087798,1155454,1273427,1315086
" ","Metropolitan municipalities",639565,673838,709351,761071,811235,860951,896564,973515,998729
" ","Provincial municipalities",636139,660681,684158,720911,746390,792604,831236,899056,919090
" ","Commuter municipalities",660809,676931,705964,750415,779973,819805,857582,938813,950745
" ","Rural municipalities",562871,580077,593826,624559,641458,669179,695483,755697,767749
" ","Copenhagen",532882,562387,594097,648806,688361,739501,800485,895335,940126
" ","Frederiksberg",1123034,1163581,1191662,1272531,1268905,1346555,1501144,1593424,1649227
" ","Dragør",1907389,1917738,2005597,2073515,2247420,2358641,2426546,2661895,2587751
" ","Tårnby",718827,735236,796727,861187,904238,922401,987925,1028527,1071852
" ","Albertslund",494163,625497,611293,706259,754516,785924,792983,846918,838191
" ","Ballerup",571961,567502,587168,611275,652305,689253,677231,718884,726739
" ","Brøndby",388189,363466,377133,391079,382931,402584,418192,449162,463504
" ","Gentofte",1879237,2015257,2118293,2222165,2332250,2386028,2603791,2741757,2821742
" ","Gladsaxe",607204,613068,636056,639383,661698,713672,742925,822024,859016
" ","Glostrup",489597,509505,515515,517265,547345,571065,622898,701725,718615
" ","Herlev",482789,516845,564675,573427,569677,638473,684392,767900,755218
" ","Hvidovre",623447,648750,674880,731596,742260,750244,811418,887358,894759
" ","Høje-Taastrup",783179,879692,989704,1109089,1154756,1261084,1360163,1449738,1415655
" ","Ishøj",418691,468363,463273,547617,664268,722004,704388,822495,920942
" ","Lyngby-Taarbæk",1282115,1333249,1390491,1411909,1415155,1502932,1616558,1718177,1698002
" ","Rødovre",527390,518674,511430,504355,527912,561761,559630,602024,644583
" ","Vallensbæk",1250119,1281928,1496133,1609797,1655202,1701715,1851010,1955746,1878135
" ","Allerød",1443440,1486656,1603872,1723145,1829286,2042591,2068502,2277642,2237636
" ","Egedal",1208604,1402953,1387369,1442385,1559710,1651076,1711655,1924184,1892306
" ","Fredensborg",1001358,1136553,1176393,1302035,1370244,1415978,1503232,1689789,1735730
" ","Frederikssund",680599,723256,749510,802696,860957,888185,942042,1050250,1096646
" ","Furesø",1385587,1483269,1609315,1718731,1763788,1910781,1939809,2111918,2085946
" ","Gribskov",931706,978543,1022748,1069453,1148523,1222799,1333884,1539545,1504597
" ","Halsnæs",624033,670363,718734,766429,837155,868229,908168,987468,1010961
" ","Helsingør",773220,831211,882288,943737,976152,1027524,1095113,1252587,1254046
" ","Hillerød",924806,1007747,1063714,1161043,1210975,1343667,1410653,1564533,1557691
" ","Hørsholm",1504110,1554218,1597883,1715199,1802142,1872017,2004836,2328020,2295507
" ","Rudersdal",2091880,2319675,2383573,2549826,2577540,2756436,2882969,3125842,3032585
" ","Bornholm",580249,586134,611050,636437,655854,685192,748016,804513,810894
" ","Greve",986098,1019050,1199504,1272558,1353344,1466693,1462471,1683082,1627662
" ","Køge",653071,718980,736476,737802,761165,811627,855760,955978,1003399
" ","Lejre",779284,893013,889561,1022645,1128470,1156005,1281949,1354944,1391871
" ","Roskilde",928020,972637,1038306,1120419,1188963,1270355,1310026,1456349,1468412
" ","Solrød",997469,1120796,1206075,1307943,1346572,1453832,1527757,1715052,1746365
" ","Faxe",646155,662652,673796,750408,780312,810521,830610,946659,875115
" ","Guldborgsund",517047,529981,538944,580702,599350,630230,654861,735582,726173
" ","Holbæk",620380,623895,640710,743473,745440,775878,825514,937051,988252
" ","Kalundborg",655698,660340,666161,672480,697433,724524,760967,888877,888342
" ","Lolland",437443,447766,452239,466096,494067,518777,551526,614335,593735
" ","Næstved",621598,629222,650769,699366,744581,775440,798379,874204,861188
" ","Odsherred",691993,687283,700980,752339,778698,813731,884029,996316,969791
" ","Ringsted",626417,651590,710461,733310,739387,843804,813493,884490,832165
" ","Slagelse",610647,637383,668857,681022,707780,743164,761888,836145,832789
" ","Sorø",649387,652029,670312,741917,805123,862520,898409,988172,929468
" ","Stevns",713320,691249,739983,739955,806185,889307,932825,952007,1021311
" ","Vordingborg",571629,587316,622692,659680,711605,707988,746884,836277,840560
" ","Assens",497349,511485,514929,514792,533495,581473,611112,656720,679366
" ","Faaborg-Midtfyn",545826,571695,567951,584675,631258,665008,717164,737657,751080
" ","Kerteminde",441183,476629,504531,550614,569152,629511,674374,738226,714747
" ","Langeland",516969,525962,517997,551271,527839,585339,597812,664972,661979
" ","Middelfart",584844,628333,663754,679851,701809,689810,716442,807449,838353
" ","Nordfyns",568734,551466,568971,579651,607646,666973,658349,683081,692473
" ","Nyborg",581371,612342,642185,671070,676089,699580,728954,779052,773920
" ","Odense",515901,554944,571062,644893,682631,737385,773487,849769,909058
" ","Svendborg",583909,626476,640773,676886,705958,749607,792719,861358,904297
" ","Ærø",588265,654150,615138,675680,709910,760306,809339,871091,789717
" ","Billund",584180,594982,646681,659105,660456,657338,738193,777603,858798
" ","Esbjerg",526331,564340,574488,612920,631977,682358,725403,777743,800205
" ","Fanø",885172,917931,973760,1032837,1184483,1196844,1274750,1377038,1400868
" ","Fredericia",521516,536286,537587,551064,571934,608774,626929,667982,697716
" ","Haderslev",505974,496887,520996,556527,562158,591123,632241,649632,661312
" ","Kolding",540944,582669,590959,622077,654486,695740,744331,800950,841421
" ","Sønderborg",473613,494275,505642,507376,519275,541894,558507,613102,632982
" ","Tønder",521336,543895,544989,574351,610234,632460,644120,706853,752548
" ","Varde",654687,663278,681927,732541,741026,789795,818579,876160,896685
" ","Vejen",505909,523011,512445,565050,591075,639901,649719,688598,715930
" ","Vejle",584794,612211,627465,671503,687605,736082,778355,836339,846578
" ","Aabenraa",501477,549839,552050,571195,605575,620228,661730,707488,746651
" ","Favrskov",852829,833152,876635,896981,916541,944858,988320,1087396,1079525
" ","Hedensted",682476,692855,748374,781802,783942,775992,781967,854925,864295
" ","Horsens",636732,654715,685758,722096,726273,779193,814281,864717,864323
" ","Norddjurs",568655,573186,596375,620891,640898,660941,668168,713178,732759
" ","Odder",735758,741814,794204,836686,833958,843763,925356,984907,1017138
" ","Randers",495589,500701,519997,552117,576641,601459,607274,649710,672187
" ","Samsø",725219,769628,784683,782570,715167,852718,773846,911108,938721
" ","Silkeborg",700605,719393,741993,779077,800484,868711,929182,1006709,1005322
" ","Skanderborg",904371,921183,966222,1029763,1017380,1112606,1120639,1206839,1177587
" ","Syddjurs",788232,813654,817188,875417,909210,950399,1001056,1072918,1086386
" ","Aarhus",758914,801836,863183,930631,991878,1068639,1123920,1216497,1212767
" ","Herning",657496,653498,667766,692664,716432,766531,822020,861379,907875
" ","Holstebro",674910,677210,690283,732785,741776,773317,820005,913098,923549
" ","Ikast-Brande",614966,616470,627789,659272,704654,715583,757467,860655,861580
" ","Lemvig",636858,660545,627710,666116,705029,753984,765347,793604,796061
" ","Ringkøbing-Skjern",645176,665706,690471,710055,720265,759458,793369,851940,846704
" ","Skive",517864,536848,548998,566021,593496,586637,614561,667669,711086
" ","Struer",625490,637896,663356,655940,671405,737051,751223,803691,736254
" ","Viborg",713852,732531,752656,796943,814265,857688,885141,918759,919653
" ","Brønderslev",581774,578899,593975,619621,637779,685806,691550,725478,731000
" ","Frederikshavn",547527,556750,599247,609488,629028,655108,653723,722564,748643
" ","Hjørring",575865,578587,589140,633971,649121,678439,685782,750251,770481
" ","Jammerbugt",572157,609665,635869,676558,691045,727561,733249,827961,843041
" ","Læsø",844978,772718,743591,772540,762338,756019,851777,851352,912366
" ","Mariagerfjord",608367,623556,642209,717190,704015,725770,745658,756261,790785
" ","Morsø",526975,583032,574841,608875,610089,633435,659651,718213,755686
" ","Rebild",776646,743555,780614,801784,870791,886305,877149,922561,921536
" ","Thisted",586715,616287,634118,668981,674757,718238,749098,802818,797500
" ","Vesthimmerlands",592607,581605,624418,639834,627717,673381,673327,723523,733795
" ","Aalborg",603516,636798,665108,691753,739303,763923,784752,860608,872853

"There is a minor break (f +/- 0.2 per cent between 2019 and 2020 due "
"to the inclusion of unquoted shares and debt to the public sector. "

