"Relative poverty (share of the population) by age, municipality groups"
"and time"

" "," ","2015","2016","2017","2018","2019","2020","2021","2022"
"Age, total"
" ","Ishøj",6.1,7.4,8.5,9.6,8.0,6.9,7.2,6.6
" ","Lyngby-Taarbæk",2.1,2.5,3.2,3.1,3.1,3.1,3.0,2.8
" ","Rødovre",4.4,4.3,5.7,5.0,5.2,5.4,5.2,5.3
" ","Vallensbæk",3.9,3.9,3.9,4.3,4.4,3.8,4.0,3.5
" ","Allerød",1.6,2.3,2.7,2.3,2.3,2.1,2.1,2.1
" ","Egedal",1.3,2.0,2.8,2.5,2.7,2.2,2.0,2.1
" ","Fredensborg",3.7,4.3,5.3,4.9,4.9,4.3,3.9,3.4
" ","Frederikssund",2.8,3.2,4.6,4.2,4.6,4.2,4.0,3.4
" ","Furesø",2.5,2.6,3.5,3.7,3.5,3.6,3.1,3.0
" ","Gribskov",3.4,4.1,5.4,4.8,4.4,3.6,4.1,4.1
" ","Halsnæs",3.8,4.4,5.6,6.0,5.2,5.6,5.2,4.4
" ","Helsingør",4.0,4.5,6.3,5.9,5.4,4.6,4.6,3.8
" ","Hillerød",2.3,3.4,4.2,3.9,3.8,3.7,3.4,3.5
" ","Hørsholm",2.3,2.3,3.2,3.7,3.4,3.1,3.4,3.0
" ","Rudersdal",2.2,2.7,3.0,3.0,3.2,2.9,2.7,1.9
" ","Bornholm",3.7,4.0,5.0,5.0,4.7,5.4,5.1,4.1
" ","Greve",2.6,3.3,3.8,3.8,3.8,4.0,3.6,3.4
" ","Køge",3.6,4.3,5.4,5.1,5.0,5.5,5.4,4.4
" ","Lejre",2.4,3.7,3.7,3.5,3.5,3.2,3.0,2.5
" ","Roskilde",2.2,2.4,3.3,3.2,2.8,3.0,2.8,2.3
" ","Solrød",1.9,3.0,3.0,3.3,2.9,3.2,2.5,2.1
" ","Faxe",4.6,5.9,7.2,6.3,6.1,5.0,5.0,4.6
" ","Guldborgsund",5.6,7.5,9.4,9.2,9.2,8.4,8.3,7.2
" ","Holbæk",3.7,4.4,5.8,5.7,5.9,5.1,5.2,4.9
" ","Kalundborg",5.0,6.3,8.1,7.7,7.4,6.8,6.7,6.2
" ","Lolland",6.6,7.8,10.0,10.2,9.5,9.7,9.1,8.3
" ","Næstved",4.1,4.3,6.2,5.8,5.3,5.3,4.8,4.5
" ","Odsherred",4.4,6.7,8.6,7.9,7.5,7.8,6.9,5.5
" ","Ringsted",3.5,4.3,5.6,5.2,5.7,5.3,4.2,3.9
" ","Slagelse",6.2,6.9,8.1,8.2,8.2,8.1,7.5,6.6
" ","Sorø",3.1,4.0,5.6,6.1,5.6,5.2,4.5,4.5
" ","Stevns",2.9,4.2,4.7,4.9,4.8,4.6,4.3,3.0
" ","Vordingborg",4.5,5.6,7.8,7.4,7.6,6.4,6.4,5.3
" ","Assens",3.7,4.5,5.7,5.4,5.4,5.0,4.5,4.5
" ","Faaborg-Midtfyn",2.6,3.9,5.1,5.3,5.1,4.7,4.8,4.3
" ","Kerteminde",2.9,4.7,6.2,5.7,6.8,5.4,5.7,4.7
" ","Langeland",6.0,9.1,10.6,10.1,8.1,7.7,7.6,5.5
" ","Middelfart",2.7,3.6,4.6,3.9,4.2,3.8,4.3,4.1
" ","Nordfyns",3.3,4.1,5.5,5.3,5.5,5.5,4.9,4.4
" ","Nyborg",4.0,5.8,7.0,5.9,5.6,5.7,4.9,4.7
" ","Odense",5.4,6.3,8.0,7.5,7.7,7.0,6.8,6.2
" ","Svendborg",3.0,4.2,6.2,5.3,5.4,5.6,4.9,4.6
" ","Ærø",4.9,5.7,7.8,7.0,7.4,7.0,6.4,6.3
" ","Billund",3.2,4.6,5.1,4.9,4.3,4.2,3.9,2.7
" ","Esbjerg",4.2,5.1,6.1,5.4,5.1,4.5,4.2,3.6
" ","Fanø",2.3,6.4,8.5,6.9,3.7,4.1,2.7,1.3
" ","Fredericia",3.8,5.0,6.8,6.6,6.6,6.1,6.7,6.1
" ","Haderslev",5.1,6.3,7.9,6.7,7.1,6.9,6.2,5.7
" ","Kolding",3.6,4.4,5.2,5.1,5.1,4.7,4.3,3.8
" ","Sønderborg",3.8,5.7,6.4,5.6,6.2,5.7,5.7,5.4
" ","Tønder",5.7,7.3,7.6,7.2,7.2,6.8,6.2,5.3
" ","Varde",4.0,5.4,5.3,5.1,4.7,3.6,3.9,3.4
" ","Vejen",3.8,5.2,5.8,5.1,5.1,4.6,4.4,3.2
" ","Vejle",3.3,4.3,4.9,5.1,4.7,4.6,4.7,4.0
" ","Aabenraa",5.1,6.2,7.1,6.4,6.1,5.9,5.7,4.9
" ","Favrskov",2.0,2.6,3.6,3.4,3.0,2.8,2.9,2.4
" ","Hedensted",2.3,3.2,4.0,3.8,4.3,3.9,3.7,3.0
" ","Horsens",3.2,4.0,5.2,4.5,4.4,4.2,4.1,3.6
" ","Norddjurs",4.4,5.5,6.0,6.1,5.7,5.3,5.3,4.5
" ","Odder",2.9,3.6,4.9,3.9,3.8,2.8,2.8,2.8
" ","Randers",3.8,4.6,5.7,5.8,6.0,5.2,5.2,4.8
" ","Samsø",3.4,5.0,6.8,9.7,6.1,5.6,4.5,5.0
" ","Silkeborg",2.7,3.2,4.1,4.0,4.3,3.7,3.5,2.7
" ","Skanderborg",1.6,2.4,2.9,2.5,2.5,2.4,2.3,1.8
" ","Syddjurs",2.5,4.4,5.0,4.8,4.2,4.0,4.3,3.4
" ","Aarhus",3.9,4.6,6.0,5.9,6.1,5.7,5.5,4.8
" ","Herning",3.3,4.0,4.7,4.6,4.3,4.1,3.9,3.4
" ","Holstebro",3.6,4.8,5.7,5.4,5.0,5.1,4.3,3.9
" ","Ikast-Brande",2.9,3.5,4.2,4.1,3.8,3.6,3.8,3.0
" ","Lemvig",4.2,5.1,5.1,5.2,5.8,5.3,5.3,4.5
" ","Ringkøbing-Skjern",4.2,4.9,5.3,5.3,4.6,4.3,4.0,3.4
" ","Skive",3.4,4.3,5.4,5.1,4.9,4.7,4.1,4.3
" ","Struer",5.0,6.0,7.1,6.1,5.1,5.4,5.5,4.7
" ","Viborg",3.2,3.9,4.6,4.5,4.4,4.3,4.2,3.3
" ","Brønderslev",4.5,5.5,6.3,5.5,5.1,4.9,4.6,4.1
" ","Frederikshavn",3.6,4.9,6.0,6.3,5.8,6.3,5.0,4.5
" ","Hjørring",4.5,5.5,6.0,6.3,5.7,5.3,5.1,4.4
" ","Jammerbugt",3.8,4.8,6.4,5.6,5.3,4.8,4.6,3.9
" ","Læsø",5.1,7.1,8.7,4.3,3.6,4.1,1.8,3.2
" ","Mariagerfjord",3.7,4.6,5.8,5.6,5.7,5.3,4.9,4.4
" ","Morsø",5.7,7.5,8.1,6.5,5.9,5.1,6.5,4.7
" ","Rebild",2.1,2.2,3.2,3.4,3.2,3.3,2.4,2.3
" ","Thisted",4.5,5.0,6.0,6.2,5.6,5.6,4.9,3.9
" ","Vesthimmerlands",5.6,6.0,6.2,6.0,5.9,5.5,4.9,4.3
" ","Aalborg",3.2,3.7,5.0,5.0,5.2,4.7,4.9,4.5
"18-29 years"
" ","All Denmark",8.1,8.8,9.1,8.8,8.7,8.2,7.6,7.1
" ","Capital municipalities",7.4,7.6,7.9,7.6,7.7,7.4,6.7,6.2
" ","Metropolitan municipalities",7.1,7.7,8.1,8.0,8.0,7.8,7.4,7.0
" ","Provincial municipalities",8.8,9.7,9.9,9.6,9.5,8.9,8.2,7.7
" ","Commuter municipalities",8.1,9.3,9.8,9.2,8.9,8.2,7.5,7.0
" ","Rural municipalities",9.8,11.1,11.5,11.0,10.6,9.9,9.2,8.6
" ","Copenhagen",7.0,7.1,7.4,7.1,7.3,7.1,6.5,5.9
" ","Frederiksberg",5.5,5.8,6.1,5.6,5.9,5.8,4.8,4.9
" ","Dragør",7.1,6.7,7.5,5.8,6.5,5.3,6.1,5.2
" ","Tårnby",7.5,8.3,8.9,9.0,9.6,9.0,8.5,8.1
" ","Albertslund",12.0,13.5,12.4,11.7,11.4,11.0,10.1,9.0
" ","Ballerup",8.4,8.9,8.7,9.0,9.5,8.3,7.5,7.2
" ","Brøndby",10.9,11.1,12.9,12.8,13.0,12.6,10.2,10.1
" ","Gentofte",7.8,8.6,8.6,8.4,7.8,7.0,6.0,5.3
" ","Gladsaxe",8.1,8.3,8.7,8.3,7.9,7.8,7.1,6.7
" ","Glostrup",9.1,8.6,9.2,9.2,8.0,8.2,6.9,6.4
" ","Herlev",7.1,8.0,8.2,8.7,7.6,7.0,6.2,6.3
" ","Hvidovre",8.2,8.2,8.2,8.4,8.6,8.0,7.7,7.7
" ","Høje-Taastrup",11.0,11.3,11.4,10.1,9.4,9.7,8.5,7.5
" ","Ishøj",10.3,9.6,10.8,12.0,12.4,11.4,10.5,9.5
" ","Lyngby-Taarbæk",5.9,6.2,6.1,6.2,6.2,5.3,5.3,4.9
" ","Rødovre",9.0,8.7,9.6,9.2,9.8,9.3,8.1,8.1
" ","Vallensbæk",7.3,6.9,8.0,7.4,8.5,8.3,8.4,6.6
" ","Allerød",6.1,7.9,8.4,7.0,6.4,6.1,6.1,4.8
" ","Egedal",5.4,6.5,6.8,6.7,6.3,4.9,5.2,4.8
" ","Fredensborg",7.6,8.7,9.2,9.2,8.8,8.8,7.5,6.5
" ","Frederikssund",7.7,8.2,8.7,8.6,8.2,7.4,6.9,5.8
" ","Furesø",8.4,9.3,9.7,8.6,8.3,7.6,7.6,6.4
" ","Gribskov",8.2,10.0,10.2,9.7,9.0,8.1,6.6,7.3
" ","Halsnæs",10.0,10.1,10.6,10.1,9.1,9.2,8.5,8.4
" ","Helsingør",9.6,9.9,10.3,10.3,10.7,9.3,8.7,7.1
" ","Hillerød",7.2,7.9,8.3,8.3,8.2,7.6,6.7,6.6
" ","Hørsholm",6.5,8.1,8.0,9.0,7.1,6.7,5.8,4.9
" ","Rudersdal",6.9,7.7,7.8,7.5,7.3,6.9,5.9,4.9
