"Relative poverty (share of the population) by age, municipality groups"
"and time"

" "," ","2015","2016","2017","2018","2019","2020","2021","2022"
"Age, total"
" ","Holbæk",0.9,1.0,1.4,1.1,1.2,1.5,1.3,1.3
" ","Kalundborg",0.9,0.9,1.0,1.2,1.4,1.4,1.3,1.4
" ","Lolland",1.4,1.4,1.4,1.9,2.0,2.0,1.9,1.7
" ","Næstved",0.9,1.1,1.3,1.3,1.4,1.5,1.7,1.7
" ","Odsherred",1.3,1.6,1.5,1.4,1.3,1.4,1.5,1.0
" ","Ringsted",1.2,1.2,1.3,1.1,1.4,1.7,1.5,1.5
" ","Slagelse",1.3,1.4,1.6,1.8,1.9,2.1,2.2,2.2
" ","Sorø",0.8,1.2,1.2,0.8,1.1,1.1,1.4,1.4
" ","Stevns",0.9,1.0,1.1,1.0,1.1,1.0,0.9,0.8
" ","Vordingborg",1.2,1.1,1.5,1.4,1.6,1.7,1.6,1.5
" ","Assens",0.9,0.9,1.2,1.3,1.3,1.5,1.4,1.4
" ","Faaborg-Midtfyn",0.8,1.0,1.2,1.3,1.2,1.2,1.1,0.9
" ","Kerteminde",0.8,0.9,0.8,1.2,1.4,1.3,1.4,1.4
" ","Langeland",1.5,1.2,1.5,1.0,1.4,1.8,1.4,1.3
" ","Middelfart",0.5,0.6,0.7,1.0,0.8,0.9,1.1,0.8
" ","Nordfyns",0.8,0.8,1.0,1.2,1.3,1.3,1.0,1.4
" ","Nyborg",0.5,0.6,0.9,1.1,1.4,1.3,1.3,1.1
" ","Odense",1.3,1.4,1.8,1.9,2.0,2.3,2.4,2.3
" ","Svendborg",1.1,1.3,1.2,1.2,1.2,1.4,1.3,1.2
" ","Ærø",1.3,1.1,0.8,1.7,1.2,1.4,1.6,1.6
" ","Billund",0.6,0.8,0.8,0.8,1.1,1.0,1.1,1.1
" ","Esbjerg",1.0,1.1,1.3,1.4,1.3,1.4,1.6,1.5
" ","Fanø",0.6,0.7,0.9,1.1,1.8,1.7,1.5,1.2
" ","Fredericia",1.3,1.6,2.0,2.3,2.2,2.3,2.2,2.0
" ","Haderslev",1.3,1.3,1.4,1.4,1.4,1.6,1.5,1.6
" ","Kolding",1.2,1.2,1.3,1.6,1.5,1.8,1.8,1.7
" ","Sønderborg",1.1,1.0,1.4,1.4,1.2,1.3,1.5,1.3
" ","Tønder",1.2,1.2,1.1,1.5,1.5,1.4,1.4,1.6
" ","Varde",1.0,0.8,0.7,1.1,1.1,1.2,1.3,0.9
" ","Vejen",1.0,1.1,1.1,1.2,1.1,1.3,1.1,1.1
" ","Vejle",0.9,0.9,1.1,1.3,1.3,1.4,1.6,1.6
" ","Aabenraa",1.5,1.7,1.8,1.6,1.8,1.9,1.5,1.6
" ","Favrskov",0.3,0.5,0.6,0.7,1.0,0.9,0.8,0.9
" ","Hedensted",0.6,0.7,0.7,0.9,1.0,0.9,0.8,0.8
" ","Horsens",0.8,0.9,1.0,1.1,1.1,1.3,1.4,1.3
" ","Norddjurs",1.1,1.2,1.3,1.4,1.3,1.4,1.5,1.1
" ","Odder",1.1,0.9,1.0,0.7,0.8,1.0,1.2,1.2
" ","Randers",0.9,1.0,1.3,1.3,1.4,1.5,1.6,1.6
" ","Samsø",1.0,0.8,1.7,1.4,1.9,1.1,2.1,1.2
" ","Silkeborg",0.6,0.7,0.8,1.0,1.0,0.9,1.0,0.9
" ","Skanderborg",0.6,0.5,0.6,0.8,0.8,0.8,0.9,1.0
" ","Syddjurs",0.8,1.1,1.1,1.2,1.3,1.1,1.1,1.0
" ","Aarhus",1.1,1.2,1.3,1.3,1.4,1.6,1.7,1.7
" ","Herning",0.9,1.0,1.2,1.2,1.3,1.5,1.4,1.4
" ","Holstebro",0.8,0.8,0.8,0.9,1.0,1.0,1.1,1.2
" ","Ikast-Brande",0.8,0.8,0.7,1.0,1.0,1.2,0.9,1.1
" ","Lemvig",1.0,0.9,1.0,1.1,0.9,0.9,0.9,0.8
" ","Ringkøbing-Skjern",0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.8
" ","Skive",1.0,0.9,0.9,0.9,1.0,1.1,1.3,1.1
" ","Struer",0.6,0.5,0.8,0.9,1.1,1.0,1.2,1.3
" ","Viborg",0.8,1.0,0.8,0.9,1.0,1.0,0.9,0.9
" ","Brønderslev",0.9,0.7,0.9,1.4,1.2,1.1,1.1,1.5
" ","Frederikshavn",0.8,0.7,1.0,1.1,1.2,1.5,1.4,1.4
" ","Hjørring",1.1,1.3,1.3,1.3,1.3,1.4,1.2,1.1
" ","Jammerbugt",0.8,1.1,1.0,1.3,1.0,0.9,1.0,0.9
" ","Læsø",1.0,0.8,1.1,1.6,1.1,2.1,1.9,1.5
" ","Mariagerfjord",0.8,1.1,1.1,1.2,1.6,1.3,1.2,1.4
" ","Morsø",1.1,0.9,0.8,0.8,1.1,0.9,0.7,1.0
" ","Rebild",0.7,0.5,0.6,0.9,0.9,0.9,0.9,0.6
" ","Thisted",1.3,1.1,1.1,1.2,1.2,1.2,1.4,1.2
" ","Vesthimmerlands",1.1,1.2,1.3,1.3,1.1,1.3,1.2,0.8
" ","Aalborg",0.9,1.1,1.2,1.5,1.5,1.5,1.8,1.7
"70-70 years"
" ","All Denmark",0.7,0.7,0.7,0.6,0.6,0.7,0.8,0.7
" ","Capital municipalities",1.1,1.1,1.1,0.9,0.8,1.0,1.1,0.9
" ","Metropolitan municipalities",0.8,0.7,0.7,0.6,0.7,0.7,0.8,0.6
" ","Provincial municipalities",0.6,0.5,0.6,0.5,0.5,0.6,0.7,0.6
" ","Commuter municipalities",0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.5
" ","Rural municipalities",0.6,0.6,0.6,0.6,0.5,0.6,0.7,0.6
" ","Copenhagen",1.8,1.8,1.8,1.3,1.3,1.5,1.6,1.2
" ","Frederiksberg",0.9,1.0,1.1,0.8,0.6,0.8,0.9,0.8
" ","Dragør",0.2,0.4,0.3,0.1,0.0,0.1,0.2,0.3
" ","Tårnby",0.7,0.8,0.8,0.9,0.9,0.8,0.8,0.7
" ","Albertslund",2.4,2.6,2.6,1.8,1.9,1.8,2.3,1.8
" ","Ballerup",0.8,0.7,0.9,0.8,0.9,1.1,1.1,0.9
" ","Brøndby",1.5,1.7,1.9,2.2,2.2,2.6,2.7,2.0
" ","Gentofte",0.4,0.5,0.7,0.6,0.4,0.5,0.5,0.5
" ","Gladsaxe",0.9,0.7,0.8,0.6,0.5,0.6,0.9,0.8
" ","Glostrup",0.8,0.8,0.8,0.6,0.9,0.8,1.1,0.7
" ","Herlev",0.9,0.9,0.5,0.7,0.8,1.1,1.2,0.7
" ","Hvidovre",1.3,1.2,1.3,0.8,0.8,0.9,1.1,0.8
" ","Høje-Taastrup",1.7,1.7,1.6,1.2,1.1,1.5,1.7,1.7
" ","Ishøj",2.1,2.2,1.8,1.2,1.4,1.1,1.5,1.3
" ","Lyngby-Taarbæk",0.5,0.5,0.5,0.3,0.3,0.4,0.5,0.3
" ","Rødovre",0.9,0.9,1.0,0.9,1.0,1.0,1.3,1.3
" ","Vallensbæk",1.0,0.5,0.6,0.9,0.9,0.9,0.8,0.9
" ","Allerød",0.3,0.2,0.2,0.3,0.5,0.5,0.7,0.6
" ","Egedal",0.4,0.3,0.5,0.4,0.3,0.4,0.5,0.3
" ","Fredensborg",0.8,0.7,0.6,0.5,0.4,0.6,0.7,0.5
" ","Frederikssund",0.4,0.5,0.5,0.6,0.6,0.5,0.6,0.6
" ","Furesø",0.6,0.8,0.6,0.5,0.5,0.4,0.6,0.5
" ","Gribskov",0.6,0.6,0.5,0.4,0.4,0.5,0.6,0.6
" ","Halsnæs",0.7,0.8,0.7,0.7,0.6,0.6,0.7,0.4
" ","Helsingør",0.8,0.8,1.0,0.8,0.7,0.7,0.9,0.7
" ","Hillerød",0.3,0.6,0.6,0.5,0.4,0.5,0.6,0.4
" ","Hørsholm",0.4,0.5,0.3,0.4,0.3,0.3,0.5,0.5
" ","Rudersdal",0.3,0.3,0.4,0.4,0.3,0.5,0.3,0.4
" ","Bornholm",0.3,0.5,0.7,0.5,0.4,0.6,0.6,0.5
" ","Greve",0.8,0.6,0.6,0.5,0.6,0.8,0.9,1.0
" ","Køge",0.5,0.4,0.5,0.5,0.5,0.3,0.7,0.5
" ","Lejre",0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4
" ","Roskilde",0.7,0.5,0.5,0.5,0.5,0.6,0.7,0.5
" ","Solrød",0.2,0.4,0.5,0.4,0.2,0.3,0.3,0.0
" ","Faxe",0.6,0.4,0.4,0.6,0.4,0.3,0.6,0.5
" ","Guldborgsund",0.7,0.6,0.6,0.7,0.6,0.9,0.9,0.7
" ","Holbæk",0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.7
" ","Kalundborg",0.6,0.6,0.5,0.4,0.4,0.5,0.6,0.4
" ","Lolland",0.9,0.9,0.9,0.9,0.8,0.9,1.3,0.9
" ","Næstved",0.8,0.6,0.6,0.6,0.6,0.5,0.8,0.5
" ","Odsherred",0.6,0.8,0.6,0.4,0.4,0.5,0.7,0.4
" ","Ringsted",0.9,0.7,0.9,0.9,0.8,0.7,0.8,0.8
" ","Slagelse",0.7,0.6,0.7,0.5,0.6,0.7,0.8,0.8
" ","Sorø",0.2,0.2,0.3,0.5,0.5,0.7,0.6,0.5
" ","Stevns",0.6,0.4,0.3,0.3,0.2,0.4,0.3,0.3
" ","Vordingborg",0.5,0.4,0.5,0.5,0.5,0.7,0.6,0.7
" ","Assens",0.5,0.4,0.4,0.5,0.4,0.6,0.6,0.6
" ","Faaborg-Midtfyn",0.6,0.5,0.4,0.5,0.5,0.5,0.6,0.5
" ","Kerteminde",0.7,0.7,0.4,0.5,0.5,0.7,0.9,0.6
" ","Langeland",0.8,0.5,0.7,0.8,0.7,0.7,1.2,0.9
" ","Middelfart",0.4,0.3,0.3,0.3,0.5,0.7,0.6,0.5
" ","Nordfyns",0.5,0.4,0.7,0.6,0.5,0.6,0.8,0.5
" ","Nyborg",0.6,0.4,0.4,0.6,0.4,0.8,0.7,0.6
" ","Odense",0.8,0.7,0.7,0.7,0.8,0.9,1.0,0.9
" ","Svendborg",0.8,0.7,0.8,0.7,0.7,0.7,0.8,0.8
" ","Ærø",0.8,1.2,1.4,1.1,0.7,1.1,1.1,0.8
" ","Billund",0.4,0.4,0.2,0.3,0.3,0.3,0.3,0.4
" ","Esbjerg",0.6,0.6,0.8,0.5,0.7,0.7,1.0,0.5
" ","Fanø",0.7,0.4,0.4,0.0,0.0,0.6,0.6,0.3
" ","Fredericia",0.7,0.6,0.6,0.6,0.7,0.6,0.9,0.6
" ","Haderslev",0.6,0.5,0.6,0.6,0.7,0.8,0.9,0.9
" ","Kolding",0.6,0.5,0.6,0.5,0.5,0.6,0.9,0.5
" ","Sønderborg",0.7,0.7,0.7,0.7,0.6,0.7,0.9,0.8
" ","Tønder",0.6,0.7,0.7,0.8,0.5,0.5,0.8,0.5
" ","Varde",0.5,0.3,0.5,0.5,0.3,0.4,0.7,0.4
" ","Vejen",0.6,0.5,0.4,0.3,0.4,0.5,0.5,0.3
" ","Vejle",0.5,0.5,0.6,0.5,0.5,0.5,0.7,0.7
" ","Aabenraa",0.8,0.8,0.7,0.8,1.0,1.1,1.1,1.0
" ","Favrskov",0.6,0.4,0.4,0.2,0.3,0.4,0.5,0.4
" ","Hedensted",0.4,0.3,0.3,0.5,0.5,0.6,0.8,0.5
" ","Horsens",0.5,0.5,0.6,0.6,0.6,0.5,0.7,0.5
" ","Norddjurs",0.7,0.5,0.7,0.8,0.7,0.9,0.9,0.7
" ","Odder",0.9,0.7,0.6,1.0,0.8,0.8,0.6,0.5
" ","Randers",0.6,0.5,0.5,0.5,0.6,0.7,0.7,0.6
" ","Samsø",0.6,0.4,0.4,0.7,0.8,0.7,1.0,0.6
" ","Silkeborg",0.4,0.4,0.5,0.4,0.4,0.4,0.6,0.5
" ","Skanderborg",0.4,0.6,0.4,0.5,0.5,0.4,0.3,0.5
" ","Syddjurs",0.7,0.6,0.5,0.5,0.4,0.4,0.6,0.6
" ","Aarhus",1.0,0.9,0.9,0.6,0.6,0.6,0.8,0.6
" ","Herning",0.6,0.4,0.5,0.6,0.5,0.5,0.7,0.5
" ","Holstebro",0.4,0.6,0.5,0.5,0.5,0.6,0.5,0.6
" ","Ikast-Brande",0.6,0.6,0.6,0.7,0.6,0.4,0.5,0.3
" ","Lemvig",0.4,0.4,0.6,0.5,0.5,0.5,0.3,0.4
" ","Ringkøbing-Skjern",0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.3
" ","Skive",0.3,0.4,0.4,0.3,0.3,0.5,0.4,0.4
" ","Struer",0.5,0.5,0.3,0.5,0.2,0.3,0.4,0.4
" ","Viborg",0.5,0.4,0.3,0.3,0.5,0.4,0.6,0.4
" ","Brønderslev",0.5,0.4,0.5,0.7,0.5,0.4,0.7,0.6
" ","Frederikshavn",0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5
" ","Hjørring",0.7,0.6,0.6,0.7,0.5,0.7,0.7,0.7
" ","Jammerbugt",0.6,0.7,0.6,0.5,0.5,0.8,0.7,0.4
" ","Læsø",0.7,0.7,0.9,0.9,0.8,0.3,1.9,1.6
" ","Mariagerfjord",0.9,0.5,0.4,0.5,0.3,0.6,0.5,0.4
" ","Morsø",0.2,0.2,0.5,0.5,0.6,0.7,1.0,0.4
" ","Rebild",0.6,0.6,0.7,0.5,0.5,0.5,0.7,0.4
" ","Thisted",0.7,0.5,0.8,0.6,0.6,0.8,0.7,0.7
" ","Vesthimmerlands",0.5,0.5,0.3,0.7,0.6,0.5,0.8,0.5
" ","Aalborg",0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.5
"80 years and over"
" ","All Denmark",0.7,0.7,0.7,0.7,0.7,0.8,1.0,0.8
" ","Capital municipalities",1.0,0.9,1.0,0.9,0.9,1.0,1.3,1.0
" ","Metropolitan municipalities",0.9,0.8,0.9,0.7,0.9,0.8,1.2,0.9
" ","Provincial municipalities",0.6,0.6,0.7,0.6,0.7,0.7,0.9,0.7
" ","Commuter municipalities",0.7,0.6,0.6,0.6,0.6,0.7,0.9,0.7
" ","Rural municipalities",0.5,0.5,0.5,0.6,0.6,0.8,0.9,0.7
" ","Copenhagen",1.6,1.5,1.7,1.4,1.4,1.6,2.1,1.4
" ","Frederiksberg",0.6,0.6,0.7,0.5,0.6,0.8,0.8,0.6
" ","Dragør",0.3,0.4,0.4,0.2,0.0,0.2,0.7,0.1
" ","Tårnby",0.8,1.1,1.0,1.2,1.0,1.1,1.5,1.2
" ","Albertslund",2.3,1.9,2.3,1.9,2.3,2.1,2.2,1.6
" ","Ballerup",0.9,0.4,0.5,0.6,0.5,0.7,0.9,0.7
" ","Brøndby",1.6,2.0,1.8,1.6,1.8,2.2,3.1,3.0
" ","Gentofte",0.5,0.5,0.4,0.5,0.5,0.6,0.7,0.6
" ","Gladsaxe",0.6,0.7,0.6,0.6,0.7,0.7,1.0,0.6
" ","Glostrup",0.4,0.7,1.2,1.2,1.1,1.2,1.3,0.7
" ","Herlev",0.8,0.8,0.8,1.0,0.7,0.9,2.0,1.3
" ","Hvidovre",1.0,1.0,0.9,0.6,0.7,0.7,1.3,1.1
" ","Høje-Taastrup",1.7,1.9,1.9,1.8,1.5,1.3,1.7,1.3
" ","Ishøj",3.9,3.0,3.0,2.4,2.6,2.0,2.3,1.8
" ","Lyngby-Taarbæk",0.4,0.4,0.2,0.3,0.4,0.4,0.6,0.5
" ","Rødovre",0.9,0.6,0.8,1.0,1.0,1.5,1.5,1.0
" ","Vallensbæk",0.6,0.8,1.4,1.2,0.9,0.9,1.1,1.4
" ","Allerød",0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.3
" ","Egedal",0.5,0.4,0.4,0.5,0.5,1.0,0.9,0.9
" ","Fredensborg",1.2,0.9,0.8,0.7,0.4,0.6,0.9,0.7
" ","Frederikssund",0.5,0.5,0.7,0.6,0.9,0.8,0.9,0.9
" ","Furesø",0.9,0.5,0.8,0.6,1.0,0.7,0.9,0.9
" ","Gribskov",0.7,0.5,0.7,0.5,0.4,0.5,0.7,0.6
" ","Halsnæs",1.2,1.2,0.8,0.6,1.0,1.1,1.0,0.8
" ","Helsingør",1.0,0.9,0.9,0.6,0.6,0.7,1.1,0.9
" ","Hillerød",0.5,0.3,0.2,0.1,0.3,0.5,0.7,0.4
" ","Hørsholm",0.6,0.6,0.6,0.5,0.2,0.2,0.7,0.4
" ","Rudersdal",0.5,0.5,0.4,0.6,0.6,0.6,0.7,0.6
" ","Bornholm",0.7,0.3,0.5,0.7,0.7,1.0,1.4,0.9
" ","Greve",0.8,1.1,1.1,1.0,1.2,1.1,1.2,1.1
" ","Køge",0.7,0.7,1.0,0.7,1.0,0.9,1.2,0.7
" ","Lejre",0.5,0.6,0.5,0.5,0.5,0.6,0.6,0.5
" ","Roskilde",0.6,0.6,0.7,0.6,0.7,0.5,0.9,0.6
" ","Solrød",0.3,0.3,0.3,0.4,0.4,0.6,0.7,0.5
" ","Faxe",0.6,0.4,0.9,0.4,0.5,1.1,1.1,1.0
" ","Guldborgsund",0.7,0.6,0.8,0.9,0.8,1.0,1.4,0.9
" ","Holbæk",0.7,0.6,0.7,0.6,0.7,0.7,1.0,0.6
" ","Kalundborg",0.7,0.5,0.6,0.8,0.6,0.6,0.7,0.5
" ","Lolland",1.0,0.8,0.7,0.8,0.8,1.2,1.6,1.3
" ","Næstved",0.7,0.8,0.9,0.8,0.8,0.7,0.9,0.8
" ","Odsherred",0.5,0.4,0.5,0.6,0.5,0.7,0.8,0.6
" ","Ringsted",0.9,0.6,0.8,0.8,1.0,1.0,1.3,1.3
" ","Slagelse",0.5,0.5,0.6,0.6,0.9,0.8,1.1,0.7
" ","Sorø",0.5,0.5,0.4,0.3,0.2,0.5,0.6,0.5
" ","Stevns",0.5,0.3,0.4,0.8,0.3,0.6,0.8,0.6
" ","Vordingborg",0.5,0.6,0.6,0.5,0.4,0.8,0.7,0.7
" ","Assens",0.8,0.5,0.7,0.8,0.5,1.2,1.0,0.6
" ","Faaborg-Midtfyn",0.5,0.8,0.6,0.6,0.6,0.7,1.0,0.8
" ","Kerteminde",0.6,0.4,0.8,0.8,0.4,0.8,0.7,0.9
" ","Langeland",1.0,0.5,0.5,0.5,1.6,1.5,1.1,0.9
" ","Middelfart",0.4,0.4,0.4,0.4,0.3,0.5,0.8,0.8
" ","Nordfyns",0.7,0.6,0.5,0.4,0.5,0.6,1.0,0.6
" ","Nyborg",0.5,0.5,0.7,0.5,0.5,0.8,1.1,0.9
" ","Odense",0.9,0.8,1.0,0.9,1.1,1.1,1.5,1.2
" ","Svendborg",0.7,0.9,0.9,0.9,1.0,1.3,1.3,1.0
" ","Ærø",1.1,1.1,0.4,0.4,0.7,0.5,0.5,0.8
" ","Billund",0.6,0.5,0.4,0.4,0.5,0.5,0.8,0.3
" ","Esbjerg",0.7,0.6,0.8,0.8,0.8,1.2,1.3,0.9
" ","Fanø",0.0,0.5,0.5,0.5,0.9,0.4,0.4,0.4
" ","Fredericia",0.4,0.6,0.7,0.6,0.8,0.9,1.1,0.8
" ","Haderslev",0.6,0.6,0.4,0.5,0.5,0.5,1.0,0.5
" ","Kolding",0.5,0.6,0.7,0.8,0.6,0.7,1.0,0.6
" ","Sønderborg",0.5,0.7,0.6,0.7,0.7,0.9,1.2,0.7
" ","Tønder",0.6,0.8,0.7,0.8,0.8,1.1,1.0,0.7
" ","Varde",0.5,0.4,0.4,0.3,0.2,0.4,0.6,0.4
" ","Vejen",0.9,0.7,0.7,0.8,0.9,0.7,1.0,0.8
" ","Vejle",0.7,0.5,0.7,0.5,0.5,0.5,0.5,0.5
" ","Aabenraa",0.6,0.5,0.7,0.7,0.9,0.9,1.1,0.9
" ","Favrskov",0.5,0.4,0.7,0.5,0.6,0.6,0.9,0.5
" ","Hedensted",0.5,0.4,0.4,0.5,0.5,0.5,0.9,0.4
" ","Horsens",0.9,0.8,0.7,0.7,0.7,0.8,1.0,0.9
" ","Norddjurs",0.4,0.4,0.2,0.3,0.5,0.6,1.0,0.7
" ","Odder",0.6,0.5,0.9,0.9,0.9,0.8,1.2,0.6
" ","Randers",0.7,0.7,0.6,0.8,0.6,0.8,1.0,0.7
" ","Samsø",0.3,0.3,0.0,1.0,0.6,0.6,0.9,1.2
" ","Silkeborg",0.5,0.7,0.5,0.5,0.6,0.4,0.7,0.4
" ","Skanderborg",0.9,0.8,0.6,0.4,0.8,0.9,0.9,0.8
" ","Syddjurs",0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7
" ","Aarhus",1.1,1.1,1.0,0.7,0.9,0.8,1.3,0.8
" ","Herning",0.4,0.6,0.6,0.8,0.6,0.8,1.1,0.7
" ","Holstebro",0.6,0.6,0.6,0.5,0.4,0.7,0.7,0.5
" ","Ikast-Brande",1.0,0.7,0.7,0.6,0.7,1.0,0.8,0.7
" ","Lemvig",0.6,0.3,0.5,0.2,0.3,0.5,0.5,0.8
" ","Ringkøbing-Skjern",0.5,0.6,0.6,0.4,0.4,0.4,0.6,0.3
" ","Skive",0.4,0.3,0.5,0.4,0.3,0.4,0.7,0.6
" ","Struer",0.5,0.7,0.5,0.2,1.2,0.5,0.6,0.4
" ","Viborg",0.5,0.6,0.5,0.6,0.6,0.6,0.7,0.5
" ","Brønderslev",0.4,0.4,0.3,0.3,0.8,0.7,0.9,0.8
" ","Frederikshavn",0.3,0.4,0.4,0.4,0.3,0.7,0.6,0.6
" ","Hjørring",0.4,0.4,0.4,0.7,0.5,0.6,0.7,0.5
" ","Jammerbugt",0.3,0.6,0.5,0.5,0.8,0.8,0.9,0.5
" ","Læsø",0.7,0.7,0.6,1.2,0.6,0.0,0.5,0.5
" ","Mariagerfjord",0.4,0.3,0.6,0.7,0.7,0.6,0.8,0.5
" ","Morsø",0.4,0.3,0.4,0.4,0.8,0.2,0.8,0.4
" ","Rebild",0.2,0.4,0.4,0.3,0.2,0.8,0.7,0.6
" ","Thisted",0.4,0.4,0.5,0.5,0.5,0.7,0.9,0.6
" ","Vesthimmerlands",0.3,0.4,0.2,0.5,0.6,1.0,0.7,0.6
" ","Aalborg",0.6,0.5,0.7,0.6,0.6,0.6,0.9,0.6

"The relative poor has equivalised disposable income and net-wealth "
"below 50 percent of the median income. Students living on their own "
"is not considered to be poor. "

