,pop_2008,pop_2009,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020,pop_2021,pop_2022
39,192287,189803,186796,183460,180089,176402,173435,171677,170124,168793,167437,165889,163505,161506,160249
40,323425,324087,324072,323728,324599,324821,326059,327568,329855,330961,332000,332262,332454,333650,336922
41,132676,132623,131877,131176,130200,129860,130562,131126,131521,132261,132464,132504,131674,131770,131826
42,129066,130107,130671,131842,132574,133054,133723,135117,136462,137329,138128,138980,139371,140057,141948
43,310005,309855,309884,309724,308992,308415,308366,309990,313592,315460,315952,316206,316510,317608,319198
44,117014,117935,118114,117813,117328,117092,117107,117554,118344,118507,118879,119398,119612,119840,120380
45,87555,87797,87695,87493,87260,87381,87588,88462,89355,90420,91298,91317,91420,92916,94744
46,186521,185777,185142,184280,182650,181586,181447,182383,183641,184171,183887,182979,181820,181216,181630
47,168668,168406,167537,166319,165577,164723,164134,164541,165396,165627,165529,164512,163579,163446,163877
48,208218,208362,207943,207046,206186,205069,204138,204288,205136,205686,206545,206938,206208,206897,208017
49,94617,95027,94995,94973,95055,94882,94943,95237,95372,95112,95148,95256,95308,95602,96189
50,54665,54179,53862,52914,52054,51214,50666,50335,50226,50313,50414,50180,49661,49421,49439
51,149552,150591,150571,150628,150490,150346,151107,151585,151895,152497,153279,154917,155832,157359,159210
52,118310,118634,118298,117890,117144,116496,116167,116658,117364,118172,118432,118907,118544,118334,119246
53,126584,126867,126494,126122,125660,125189,125496,126669,127996,128319,128133,128042,127833,127970,128529
54,748551,752669,756889,762196,768379,776389,785308,791458,798539,804211,811597,817769,820600,821227,826689
55,236554,236521,235690,234772,233949,232608,231858,232390,233537,234378,234782,234181,233257,235440,237731
56,26782,26748,26729,26597,26450,25884,25365,25104,24956,24718,24532,24094,23880,23992,24157
57,104913,105049,104713,104876,105236,105405,105339,105339,106032,106001,106212,106642,106283,106196,107306
58,457575,458934,460550,460731,460453,460069,460996,462147,463606,463741,464059,462550,462288,462155,462619
59,12851,12887,12900,12891,12959,12980,13053,13095,13289,13464,13660,13782,13900,13792,13717
60,198013,199118,200060,200615,201003,201474,201481,202167,203104,203970,205554,205706,205452,205702,207357
61,225772,225782,225213,224494,224851,224137,223649,223858,224181,224027,223685,223195,222289,221469,221617
62,352216,354892,356424,357080,357823,358699,361258,364289,367592,369581,370460,372218,372455,372659,376179
63,307501,306722,305376,304943,303976,302524,300611,299294,299035,299053,298693,297577,296341,295029,296015
64,161416,160124,158604,157470,155918,154130,152721,151925,151718,151455,150819,150101,148911,147979,147708
65,201135,201737,201637,201321,200499,199998,200113,200761,201537,201756,200903,200485,199457,198717,199366
66,170266,171029,171168,171051,171110,170655,170692,170822,171426,171396,171457,171183,171030,171030,170883
67,421136,424540,426825,430013,433303,436783,439717,443793,449335,454345,457389,460785,465001,470925,479518
68,241267,240948,239784,239000,237829,236533,235910,235714,235985,236383,236138,235786,234705,234226,235532
69,183354,185344,186635,187983,188635,188311,188978,190280,191021,192169,193203,193471,193499,194250,196319
70,182980,183904,183911,184216,183781,183337,183447,184831,185275,186414,186606,186812,186877,187701,189465
71,321812,326214,328862,332157,335899,340475,344033,347208,352855,357020,359512,363275,365341,371781,381257
72,154079,153171,152385,151787,151861,151976,151564,151990,152374,152444,151910,150116,147985,147916,148061
73,86359,86501,87173,87263,87159,87298,87242,87918,88771,89867,90505,91008,91567,92304,93864
74,375421,377924,379776,381867,383394,384308,386161,387939,390803,392677,392363,391702,391898,393862,397777
75,16258,16083,15862,15542,15466,15168,15017,14872,14905,14891,14832,14710,14610,14780,14973
76,350623,352909,354422,356411,357272,357914,359150,361010,363747,365957,369492,373812,377885,384656,393172
77,224934,227558,229856,231528,232091,232558,233489,236046,239406,242694,245692,248883,251827,254613,258930
78,165278,165413,166140,167124,167445,167108,166761,167244,167597,168575,170324,171506,172387,173548,175624
79,1197829,1215943,1231221,1247136,1263382,1282165,1298376,1310405,1329204,1348841,1369045,1386489,1402817,1412872,1428815
80,338389,341193,342633,344019,345725,346643,347377,348537,351961,354289,355202,356103,357050,357086,358564
81,228478,228832,228564,228728,228872,229210,229697,230310,231460,233174,233871,234138,234555,234479,235104
82,160126,161038,161563,162419,162406,161994,162601,163006,163787,164813,165364,165888,165525,166750,168993
83,88000,87540,86816,86046,85214,84324,83295,82304,81385,81073,80377,79618,78668,78055,77632
84,234160,234898,233284,232229,231219,229518,228418,228345,228244,228310,228075,227410,225577,224771,225240
85,193398,193091,192344,191491,190116,188781,187484,186534,186592,186315,185793,184437,182942,181157,180767
86,90766,90346,89489,88780,88126,86956,86115,85661,85826,85247,85023,84442,83846,83252,83417
87,369411,372363,374014,374687,376076,377813,378890,381509,384315,386923,388243,388698,386974,386870,388745
88,142381,143068,143201,143120,142830,142497,142638,143558,144356,144632,145347,145548,145128,144673,145571
89,250719,249402,247405,245981,244068,242684,241861,241350,241466,241146,240496,239614,237695,235878,235745
90,268637,268049,266730,265668,264132,262436,261766,261448,261389,261362,260399,258602,257573,256132,255663
91,156087,155875,155380,154836,154597,153921,153466,153587,154185,154546,154371,153841,153366,152713,153168
92,8005,7948,7867,7752,7511,7382,7211,7219,7263,7194,7244,7232,7116,7120,7129
93,170781,170881,170224,170266,169399,168288,168255,168531,168462,168301,168504,167772,166773,166254,167103
94,88554,88034,87038,86128,85360,84446,83770,83021,82708,82445,81954,81404,80792,80281,80258
95,115314,115526,115543,115841,115566,115389,115402,115912,116866,118278,119505,120022,121118,122218,123227
96,182340,181794,181060,180253,179018,177642,176759,176136,175842,175306,174870,174213,173408,172543,172950
97,153686,153432,152221,150988,150356,150254,149824,149579,149140,149180,148930,148016,146491,145426,145467
98,781476,785844,791145,798900,806359,815932,824973,833344,843116,848964,855192,863407,870764,879650,886465
